Authority,Issue scope,Channel,Method,Acceptance status,Proof / tracking,Source,Risk / conditions,Checked
PMC,Municipal civic complaints,PMC CARE 2.0,Official app/portal,Official channel exists; no third-party submission authorization confirmed,Government token only if actually issued,https://efaq.pmc.gov.in/en,Portal linked by PMC; do not claim automated API,2026-09-22
PMC,Municipal civic complaints,PMC CARE WhatsApp (historic booklet),WhatsApp,Live acceptance/number and on-behalf permissions NOT verified,"Token when received, not automatically",https://opendata.pmc.gov.in/opendata/PMCReports/PMC-CARE-Booklet.pdf,"Booklet mentions 9689900002; historical source, retest",2026-09-22
PMC,General contact / routing clarification,info@punecorporation.org / 020-25501000,Email/phone,Published general contact; not proven formal grievance registration,Email send receipt not government token,https://efaq.pmc.gov.in/en,Avoid marking registered on send,2026-09-22
Maharashtra PWD,Pothole on PWD-owned roads,PCRS / Pune helpline 1800-233-1548,App/phone,Published for PWD roads; ownership must be established,Ask for PCRS ID / SMS receipt,https://pwd.maharashtra.gov.in/en/toll-free-numbers-for-registering-pothole-complaints-on-pwd-roads/,Not every Pune road belongs to PWD,2026-09-22
MSEDCL,Electricity / billing,Customer care 1912 / 19120; customercare@mahadiscom.in,Phone/email/portal,Official says accepted complaints registered in CRM,CRM complaint ID where supplied,https://www.mahadiscom.in/en/contact-us/,Consumer number may be required; never publicly expose it,2026-09-22
Pune Metro,"Train, station, ticketing",Customer care 18002705501; official complaint form,Phone/form,Official form and number published; third-party automation unverified,Receipt only if issued,https://punemetrorail.org/customer-care,"Use customer care, not PR or MD mailbox",2026-09-22
Maharashtra ACB,Bribery / misuse of power,ACB official complaint form; 1064,Private form/helpline,Official form exists; private only; automation unverified,Official reference when issued,https://acb.maharashtra.gov.in/other-complaint,Do not put accusations/evidence on public feed,2026-09-22
Maharashtra Govt,Eligible state public grievances,Maharashtra grievance portal,Official portal,Site is linked by district; subject eligibility must be checked,Portal ID as issued,https://pune.gov.in/en/service/grievance-monitoring/,Not universal for all local problems,2026-09-22
PMPML,Bus service,Historic WhatsApp 9881495589,WhatsApp,Historical operator site; active intake not independently confirmed,Reference unknown,https://mail.pmpml.org/,DO NOT enable until verified live,2026-09-22
Pune Police,Traffic issues,Official police citizen service website,Portal/helpline,Specific traffic signal maintenance ownership unverified,Reference depends on workflow,https://punepolice.gov.in/,Traffic control differs from maintenance,2026-09-22
