Missing element,Severity,Evidence,Next research / verification action,Source,Implementation guardrail
PMC departmental heads and ward office officers,CRITICAL,Official PMC searchable officers page displays 'Currently data is not available'.,Request current appointment/posting orders and departmental/ward contact list from PMC; check RTI if required.,https://www.pmc.gov.in/en/pmc-officers,Do not seed named officer assignments from archived third-party mirrors.
PMC corporator 165-name official roster,HIGH,OpenCity has 2026 CSV and official gazette resource; official named entries not individually reconciled in this research.,Acquire 2026 official gazette and reconcile all 165 names/ward IDs with existing V2 candidate seed.,https://data.opencity.in/dataset/pmc-election-results-2026,Do not mislabel entire seed as individually government-verified.
PMC administrative ward polygons and assignment,CRITICAL,"15 ward-office labels appear in historical official report, but not current boundaries/assignment rules.",Obtain current service ward office boundaries and verify link to 41 electoral ward map.,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,41 electoral wards != 15 administrative ward offices.
PWD current senior officers,HIGH,Same official PWD Pune URL provides inconsistent names in search/open snapshots for Chief Engineer and Superintending Engineer.,Recheck fresh government posting orders and direct office confirmation before recording person.,https://pwd.maharashtra.gov.in/en/pune/,"Route to role-based PWD office, not unconfirmed named officer."
Pune road asset ownership,CRITICAL,City coordinates alone cannot establish PMC vs PWD vs other asset owner.,Acquire official road inventory by maintainer; review edges and overlapping road segments.,https://pwd.maharashtra.gov.in/en/grievance-redressal/,Routing must fail safely on ambiguity.
Traffic signal maintenance contracts,HIGH,Traffic enforcement is not necessarily signal repair authority.,Obtain maintenance agreement/asset ownership matrix for Pune signals.,https://punepolice.gov.in/,Keep issue in review queue until confirmed.
PMPML complaint intake now,HIGH,Historical site lists WhatsApp; live acceptance and receipt not verified.,Request currently accepted complaint contacts and sample acknowledgment.,https://www.pcmcindia.gov.in/directory.php,No automated messages before permission confirmed.
Third-party submission permission,CRITICAL,Government portals/channels do not automatically grant other platforms delegated access.,Document written authorization or channel policy for each adapter; test with real consented grievance.,https://efaq.pmc.gov.in/en,Do not describe WhatsApp draft/handoff as automated submission.
Contact freshness monitoring,MEDIUM,Appointments and website listings change.,Quarterly revalidation and urgent refresh after transfers; log last_checked and evidence.,https://pune.gov.in/en/about-pune/whos-who/,"Person data is informational, routing bound to office."
Confidential complaint safeguards,CRITICAL,Corruption complaints require sensitive identity and evidence.,"Private-only intake, strong access controls, no publication, explicit consent for forwarding.",https://acb.maharashtra.gov.in/other-complaint,No public accusations or gamification.
